,predicate1English,predicate2English,nounEnglish,condition,weird?
13,bad,beautiful,tomato,both,
1877,bad,dry,fan,second,
807,bad,hard,tomato,first,
2971,bad,new,table,both,
2978,bad,new,table,both,
3060,bad,short,apple,both,
2121,bad,wide,banana,second,
3045,beautiful,bad,fan,both,
1885,beautiful,good,banana,neither,
252,beautiful,good,chair,both,
2353,beautiful,good,couch,both,
1349,beautiful,good,fan,neither,
2345,beautiful,short,banana,both,
3264,beautiful,square,TV,neither,
3282,beautiful,wet,fan,first,
1203,beautiful,yellow,TV,both,
3459,big,bad,chair,neither,
1895,big,purple,couch,both,
2980,big,purple,tomato,first,
3255,big,soft,fan,second,
2126,big,wet,chair,second,
2108,blue,dry,couch,second,
1337,blue,new,fan,second,
2244,blue,old,tomato,second,
2804,blue,short,fan,neither,
3257,blue,soft,chair,second,
3362,blue,soft,fan,second,
3297,blue,soft,TV,neither,
2251,blue,wide,cheese,both,
1215,blue,wide,tomato,neither,
2110,brown,bad,cheese,second,
3285,brown,good,TV,both,
1893,brown,new,table,second,
254,dry,bad,TV,first,
3253,dry,metal,couch,second,
3,dry,narrow,chair,both,
3263,dry,narrow,TV,neither,
932,dry,new,fan,second,
2786,dry,round,banana,first,
2805,dry,round,tomato,neither,
3273,dry,short,banana,neither,
2346,dry,short,tomato,first,
1204,dry,square,chair,second,
1883,dry,wide,cheese,neither,
2789,dry,wooden,apple,second,
1329,dry,wooden,fan,second,
2799,dry,yellow,cheese,both,
2365,good,beautiful,fan,neither,
915,good,blue,cheese,second,
1896,good,brown,chair,second,
239,good,brown,tomato,neither,
2981,good,dry,cheese,both,
1575,good,long,tomato,both,
2241,good,narrow,TV,neither,
1567,good,red,table,both,
2343,good,round,cheese,both,
823,good,short,tomato,first,
2252,good,short,tomato,neither,
2359,good,small,TV,neither,
3259,good,yellow,fan,neither,
3260,green,big,couch,second,
2350,green,dry,banana,first,
1878,green,hard,TV,neither,
2984,green,long,couch,both,
2982,green,new,tomato,first,
14,green,old,cheese,second,
2979,green,wet,carrot,neither,
920,green,wooden,tomato,second,
2127,hard,bad,cheese,first,
2793,hard,beautiful,carrot,first,
819,hard,beautiful,tomato,both,
2972,hard,big,fan,first,
1897,hard,good,chair,neither,
1892,hard,metal,carrot,neither,
24,hard,metal,TV,both,
2124,hard,old,carrot,both,
2792,hard,old,cheese,both,
813,hard,old,tomato,first,
2784,hard,purple,fan,second,
3460,long,beautiful,tomato,second,
2361,long,blue,banana,second,
2109,long,brown,table,neither,
1335,long,green,fan,both,
3258,long,hard,apple,neither,
1206,long,hard,TV,neither,
2808,long,metal,TV,second,
2802,long,purple,couch,both,
2358,long,wooden,tomato,both,
246,long,yellow,couch,second,
9,metal,hard,banana,second,
10,metal,hard,banana,neither,
931,metal,purple,cheese,first,
2967,metal,wide,tomato,first,
3059,narrow,bad,apple,both,
2114,narrow,dry,chair,first,
2238,narrow,green,fan,both,
3047,narrow,green,fan,neither,
3046,narrow,green,TV,neither,
3281,narrow,metal,cheese,second,
3266,narrow,plastic,tomato,first,
2131,narrow,round,tomato,neither,
3467,narrow,soft,carrot,neither,
1566,narrow,yellow,apple,second,
923,new,blue,tomato,both,
2983,new,dry,carrot,first,
1894,new,dry,table,both,
2798,new,hard,cheese,neither,
3271,new,hard,tomato,both,
2259,new,long,fan,neither,
2977,new,short,banana,second,
2363,new,wet,banana,first,
2970,new,yellow,chair,both,
2341,old,blue,banana,both,
1200,old,dry,fan,neither,
1585,old,dry,TV,second,
3265,old,long,apple,first,
2123,old,narrow,carrot,both,
3267,old,soft,banana,second,
1876,old,wide,chair,neither,
1884,old,yellow,fan,neither,
1294,plastic,bad,table,neither,
928,plastic,brown,cheese,first,
2986,plastic,hard,tomato,both,
2806,plastic,narrow,tomato,first,
921,plastic,old,apple,neither,
2342,plastic,old,carrot,both,
2795,plastic,short,table,second,
814,purple,long,banana,neither,
2807,purple,soft,chair,neither,
1222,purple,wet,apple,neither,
2966,purple,wide,apple,second,
255,purple,wide,banana,second,
3066,red,beautiful,cheese,neither,
2344,red,dry,carrot,first,
810,red,dry,cheese,neither,
1218,red,hard,carrot,both,
1888,red,plastic,table,second,
3067,red,short,apple,second,
2985,red,short,tomato,second,
1288,red,short,TV,first,
3275,red,wet,tomato,neither,
259,round,beautiful,couch,neither,
2240,round,blue,chair,both,
1889,round,brown,fan,second,
241,round,brown,TV,second,
2262,round,dry,banana,both,
2119,round,narrow,cheese,neither,
2113,round,yellow,chair,second,
1330,short,bad,banana,neither,
482,short,beautiful,TV,first,
1891,short,good,tomato,first,
1198,short,green,apple,second,
2129,short,old,banana,both,
3063,short,round,apple,neither,
811,short,soft,TV,both,
926,short,wet,banana,neither,
3269,short,wet,TV,neither,
2348,short,wooden,TV,both,
816,short,yellow,carrot,neither,
258,small,red,TV,second,
1208,small,wet,tomato,neither,
5,soft,beautiful,table,second,
2120,soft,brown,couch,first,
2130,soft,old,TV,first,
2250,soft,round,cheese,first,
2990,soft,short,apple,first,
2258,soft,short,couch,both,
2969,soft,wide,banana,both,
2356,square,beautiful,table,neither,
2,square,beautiful,TV,first,
3380,square,beautiful,TV,first,
3369,square,dry,couch,second,
1197,square,long,TV,both,
1220,square,new,apple,first,
6,square,short,fan,second,
1562,wet,brown,apple,second,
2803,wet,good,fan,first,
2237,wet,long,fan,neither,
2988,wet,narrow,couch,neither,
3274,wet,wide,table,neither,
3473,wide,beautiful,carrot,second,
3464,wide,beautiful,chair,neither,
1297,wide,dry,banana,first,
2117,wide,dry,banana,neither,
2128,wide,dry,cheese,first,
1216,wide,good,banana,both,
1211,wide,old,apple,both,
2791,wide,purple,banana,first,
2989,wide,red,tomato,second,
2783,wide,yellow,couch,both,
2349,wooden,narrow,TV,both,
2973,yellow,beautiful,couch,second,
2122,yellow,beautiful,tomato,second,
1874,yellow,big,fan,second,
3276,yellow,narrow,apple,both,
16,yellow,new,TV,second,
815,yellow,round,fan,neither,
1886,yellow,round,TV,second,
