"","workerid","noun","nounclass","predicateposition","predicate","correctresponse","correctclass"
"1",0,"tomato","food","predicate1","green",0.79,"color"
"2",0,"apple","food","predicate1","square",0.16,"shape"
"3",0,"TV","furniture","predicate1","good",0.88,"quality"
"4",0,"banana","food","predicate1","rotten",0.78,"age"
"5",0,"desk","furniture","predicate1","square",0.09,"shape"
"6",0,"chair","furniture","predicate1","wooden",0.05,"material"
"7",0,"couch","furniture","predicate1","new",0.82,"age"
"8",0,"carrot","food","predicate1","rotten",0.88,"age"
"9",0,"chair","furniture","predicate1","round",0.1,"shape"
"10",0,"carrot","food","predicate1","huge",0.87,"size"
"11",0,"couch","furniture","predicate1","blue",0.83,"color"
"12",0,"apple","food","predicate1","small",0.87,"size"
"13",0,"TV","furniture","predicate1","rotten",0.09,"age"
"14",0,"chair","furniture","predicate1","long",0.86,"size"
"15",0,"cheese","food","predicate1","metal",0.13,"material"
"16",0,"desk","furniture","predicate1","short",0.88,"size"
"17",0,"carrot","food","predicate1","soft",0.08,"texture"
"18",0,"chair","furniture","predicate1","short",0.93,"size"
"19",0,"carrot","food","predicate1","long",0.98,"size"
"20",0,"chair","furniture","predicate1","blue",0.08,"color"
"21",0,"apple","food","predicate1","round",0.17,"shape"
"22",0,"TV","furniture","predicate1","big",0.8,"size"
"23",0,"desk","furniture","predicate1","small",0.9,"size"
"24",0,"chair","furniture","predicate1","smooth",0.94,"texture"
"25",0,"tomato","food","predicate1","short",0.85,"size"
"26",0,"couch","furniture","predicate1","big",0.91,"size"
"27",1,"fan","furniture","predicate1","tiny",1,"size"
"28",1,"carrot","food","predicate1","hard",0.97,"texture"
"29",1,"chair","furniture","predicate1","square",0.01,"shape"
"30",1,"carrot","food","predicate1","new",0.96,"age"
"31",1,"apple","food","predicate1","round",0,"shape"
"32",1,"tomato","food","predicate1","purple",0,"color"
"33",1,"TV","furniture","predicate1","soft",0.94,"texture"
"34",1,"tomato","food","predicate1","blue",0.02,"color"
"35",1,"tomato","food","predicate1","wooden",0.01,"material"
"36",1,"TV","furniture","predicate1","brown",0.02,"color"
"37",1,"banana","food","predicate1","wooden",0,"material"
"38",1,"tomato","food","predicate1","smooth",0.96,"texture"
"39",1,"banana","food","predicate1","new",0.94,"age"
"40",1,"apple","food","predicate1","red",0.02,"color"
"41",1,"fan","furniture","predicate1","short",0.93,"size"
"42",1,"desk","furniture","predicate1","fresh",0,"age"
"43",1,"couch","furniture","predicate1","big",0.98,"size"
"44",1,"tomato","food","predicate1","small",1,"size"
"45",1,"cheese","food","predicate1","smooth",0.01,"texture"
"46",1,"banana","food","predicate1","old",0.03,"age"
"47",1,"fan","furniture","predicate1","rotten",0.96,"age"
"48",1,"desk","furniture","predicate1","fresh",0.96,"age"
"49",1,"banana","food","predicate1","good",0.02,"quality"
"50",1,"couch","furniture","predicate1","wooden",0.02,"material"
"51",1,"chair","furniture","predicate1","round",0.02,"shape"
"52",1,"cheese","food","predicate1","big",0.97,"size"
"53",2,"desk","furniture","predicate1","big",0.94,"size"
"54",2,"fan","furniture","predicate1","round",0.08,"shape"
"55",2,"carrot","food","predicate1","old",0.95,"age"
"56",2,"chair","furniture","predicate1","green",0.06,"color"
"57",2,"couch","furniture","predicate1","hard",0.16,"texture"
"58",2,"apple","food","predicate1","rotten",0.96,"age"
"59",2,"banana","food","predicate1","tiny",0.9,"size"
"60",2,"tomato","food","predicate1","rotten",0.91,"age"
"61",2,"chair","furniture","predicate1","huge",0.92,"size"
"62",2,"desk","furniture","predicate1","new",0.05,"age"
"63",2,"banana","food","predicate1","huge",0.97,"size"
"64",2,"tomato","food","predicate1","soft",0.87,"texture"
"65",2,"TV","furniture","predicate1","big",0.96,"size"
"66",2,"couch","furniture","predicate1","small",0.06,"size"
"67",2,"apple","food","predicate1","tiny",0.08,"size"
"68",2,"desk","furniture","predicate1","new",0.84,"age"
"69",2,"desk","furniture","predicate1","square",0.22,"shape"
"70",2,"TV","furniture","predicate1","metal",0.1,"material"
"71",2,"banana","food","predicate1","smooth",0.9,"texture"
"72",2,"apple","food","predicate1","tiny",0.13,"size"
"73",2,"carrot","food","predicate1","huge",0.86,"size"
"74",2,"apple","food","predicate1","square",0.23,"shape"
"75",2,"chair","furniture","predicate1","fresh",0.88,"age"
"76",2,"TV","furniture","predicate1","yellow",0.13,"color"
"77",2,"TV","furniture","predicate1","plastic",0.09,"material"
"78",2,"apple","food","predicate1","square",0.06,"shape"
"79",3,"banana","food","predicate1","small",0.95,"size"
"80",3,"fan","furniture","predicate1","green",0.01,"color"
"81",3,"carrot","food","predicate1","old",0.99,"age"
"82",3,"chair","furniture","predicate1","soft",0.97,"texture"
"83",3,"desk","furniture","predicate1","yellow",0,"color"
"84",3,"banana","food","predicate1","new",0.01,"age"
"85",3,"banana","food","predicate1","huge",0.99,"size"
"86",3,"carrot","food","predicate1","big",0.98,"size"
"87",3,"apple","food","predicate1","soft",0.96,"texture"
"88",3,"cheese","food","predicate1","wooden",0.01,"material"
"89",3,"apple","food","predicate1","hard",0.97,"texture"
"90",3,"TV","furniture","predicate1","wooden",0.02,"material"
"91",3,"apple","food","predicate1","red",0.97,"color"
"92",3,"desk","furniture","predicate1","purple",0.01,"color"
"93",3,"tomato","food","predicate1","short",0.98,"size"
"94",3,"couch","furniture","predicate1","new",0.96,"age"
"95",3,"couch","furniture","predicate1","soft",0.96,"texture"
"96",3,"TV","furniture","predicate1","tiny",0.96,"size"
"97",3,"banana","food","predicate1","metal",0.01,"material"
"98",3,"fan","furniture","predicate1","red",0.03,"color"
"99",3,"chair","furniture","predicate1","square",0.01,"shape"
"100",3,"tomato","food","predicate1","short",0.96,"size"
"101",3,"TV","furniture","predicate1","red",0.01,"color"
"102",3,"couch","furniture","predicate1","new",0.97,"age"
"103",3,"banana","food","predicate1","new",0.01,"age"
"104",3,"TV","furniture","predicate1","brown",0.03,"color"
"105",4,"TV","furniture","predicate1","bad",0.98,"quality"
"106",4,"chair","furniture","predicate1","square",0.05,"shape"
"107",4,"apple","food","predicate1","brown",0.96,"color"
"108",4,"fan","furniture","predicate1","fresh",0.96,"age"
"109",4,"tomato","food","predicate1","metal",0.98,"material"
"110",4,"apple","food","predicate1","smooth",0.96,"texture"
"111",4,"cheese","food","predicate1","blue",0.02,"color"
"112",4,"carrot","food","predicate1","plastic",0.02,"material"
"113",4,"couch","furniture","predicate1","tiny",0.96,"size"
"114",4,"chair","furniture","predicate1","bad",0.97,"quality"
"115",4,"fan","furniture","predicate1","blue",0.02,"color"
"116",4,"desk","furniture","predicate1","rotten",0.99,"age"
"117",4,"tomato","food","predicate1","green",0.03,"color"
"118",4,"carrot","food","predicate1","blue",0.02,"color"
"119",4,"desk","furniture","predicate1","round",0.98,"shape"
"120",4,"TV","furniture","predicate1","metal",0.05,"material"
"121",4,"fan","furniture","predicate1","good",1,"quality"
"122",4,"fan","furniture","predicate1","smooth",0.03,"texture"
"123",4,"chair","furniture","predicate1","plastic",0.04,"material"
"124",4,"desk","furniture","predicate1","purple",0.06,"color"
"125",4,"fan","furniture","predicate1","yellow",0.03,"color"
"126",4,"tomato","food","predicate1","plastic",0.06,"material"
"127",4,"chair","furniture","predicate1","huge",0.95,"size"
"128",4,"apple","food","predicate1","short",0.98,"size"
"129",4,"apple","food","predicate1","purple",0,"color"
"130",4,"TV","furniture","predicate1","new",0,"age"
"131",5,"banana","food","predicate1","new",0.05,"age"
"132",5,"TV","furniture","predicate1","square",1,"shape"
"133",5,"chair","furniture","predicate1","good",1,"quality"
"134",5,"banana","food","predicate1","new",0.36,"age"
"135",5,"tomato","food","predicate1","big",0.96,"size"
"136",5,"cheese","food","predicate1","green",0.04,"color"
"137",5,"carrot","food","predicate1","round",0.97,"shape"
"138",5,"TV","furniture","predicate1","small",0.03,"size"
"139",5,"apple","food","predicate1","old",0.99,"age"
"140",5,"apple","food","predicate1","tiny",0.98,"size"
"141",5,"cheese","food","predicate1","small",0.97,"size"
"142",5,"desk","furniture","predicate1","metal",0.03,"material"
"143",5,"banana","food","predicate1","red",0.01,"color"
"144",5,"chair","furniture","predicate1","yellow",0.64,"color"
"145",5,"TV","furniture","predicate1","old",0.02,"age"
"146",5,"couch","furniture","predicate1","rotten",0.01,"age"
"147",5,"carrot","food","predicate1","new",0.01,"age"
"148",5,"fan","furniture","predicate1","old",0.02,"age"
"149",5,"cheese","food","predicate1","plastic",0.03,"material"
"150",5,"couch","furniture","predicate1","new",0.03,"age"
"151",5,"banana","food","predicate1","red",0,"color"
"152",5,"desk","furniture","predicate1","bad",0.97,"quality"
"153",5,"banana","food","predicate1","plastic",0.98,"material"
"154",5,"cheese","food","predicate1","tiny",0.02,"size"
"155",5,"carrot","food","predicate1","old",0.95,"age"
"156",5,"TV","furniture","predicate1","rotten",0.97,"age"
"157",6,"fan","furniture","predicate1","old",0.83,"age"
"158",6,"cheese","food","predicate1","smooth",0.59,"texture"
"159",6,"couch","furniture","predicate1","fresh",0.49,"age"
"160",6,"chair","furniture","predicate1","green",0.2,"color"
"161",6,"apple","food","predicate1","big",0.93,"size"
"162",6,"apple","food","predicate1","short",0.86,"size"
"163",6,"desk","furniture","predicate1","tiny",0.81,"size"
"164",6,"cheese","food","predicate1","soft",0.82,"texture"
"165",6,"couch","furniture","predicate1","old",0.96,"age"
"166",6,"fan","furniture","predicate1","round",0.32,"shape"
"167",6,"carrot","food","predicate1","good",0.91,"quality"
"168",6,"tomato","food","predicate1","old",0.89,"age"
"169",6,"apple","food","predicate1","yellow",0.22,"color"
"170",6,"chair","furniture","predicate1","square",0.98,"shape"
"171",6,"banana","food","predicate1","smooth",0.63,"texture"
"172",6,"carrot","food","predicate1","round",0.77,"shape"
"173",6,"cheese","food","predicate1","purple",0.21,"color"
"174",6,"couch","furniture","predicate1","big",0.22,"size"
"175",6,"TV","furniture","predicate1","new",0.93,"age"
"176",6,"carrot","food","predicate1","wooden",0.04,"material"
"177",6,"fan","furniture","predicate1","small",0.94,"size"
"178",6,"couch","furniture","predicate1","soft",0.91,"texture"
"179",6,"couch","furniture","predicate1","fresh",0.66,"age"
"180",6,"cheese","food","predicate1","round",0.06,"shape"
"181",6,"fan","furniture","predicate1","round",0.3,"shape"
"182",6,"fan","furniture","predicate1","plastic",0.05,"material"
"183",7,"couch","furniture","predicate1","round",0.03,"shape"
"184",7,"banana","food","predicate1","purple",0.03,"color"
"185",7,"carrot","food","predicate1","blue",0.01,"color"
"186",7,"cheese","food","predicate1","huge",0.98,"size"
"187",7,"chair","furniture","predicate1","soft",0.97,"texture"
"188",7,"fan","furniture","predicate1","blue",0,"color"
"189",7,"TV","furniture","predicate1","short",0.99,"size"
"190",7,"fan","furniture","predicate1","huge",0.97,"size"
"191",7,"fan","furniture","predicate1","purple",0.04,"color"
"192",7,"banana","food","predicate1","plastic",0.02,"material"
"193",7,"tomato","food","predicate1","good",0.95,"quality"
"194",7,"cheese","food","predicate1","huge",0.97,"size"
"195",7,"TV","furniture","predicate1","long",0.96,"size"
