"","workerid","noun","nounclass","makesSense","condition","predicateposition","predicate","correctresponse","correctclass"
"1",5,"cheese","food",1,"both","predicate1","new",0.73,"age"
"2",5,"bed","furniture",1,"both","predicate1","wooden",0.25,"material"
"3",5,"cheese","food",1,"both","predicate1","good",0.72,"quality"
"4",5,"couch","furniture",1,"both","predicate1","good",0.79,"quality"
"5",5,"table","furniture",1,"both","predicate1","purple",0.27,"color"
"6",5,"cheese","food",1,"both","predicate1","purple",0.27,"color"
"7",5,"table","furniture",1,"both","predicate1","big",0.72,"size"
"8",5,"watermelon","food",1,"both","predicate1","square",0.28,"shape"
"9",5,"chair","furniture",1,"both","predicate1","round",0.27,"shape"
"10",5,"potato","food",1,"both","predicate1","round",0.32,"shape"
"11",5,"tomato","food",1,"both","predicate1","round",0.35,"shape"
"12",5,"couch","furniture",1,"both","predicate1","big",0.29,"size"
"13",5,"potato","food",1,"both","predicate1","green",0.35,"color"
"14",5,"cheese","food",1,"both","predicate1","small",0.69,"size"
"15",5,"cheese","food",1,"both","predicate1","big",0.68,"size"
"16",5,"watermelon","food",1,"both","predicate1","green",0.18,"color"
"17",5,"couch","furniture",1,"both","predicate1","good",0.22,"quality"
"18",5,"bed","furniture",1,"both","predicate1","round",0.29,"shape"
"19",6,"tomato","food",1,"both","predicate1","small",0.96,"size"
"20",6,"chair","furniture",1,"both","predicate1","soft",0.01,"texture"
"21",6,"tomato","food",1,"both","predicate1","bad",0.01,"quality"
"22",6,"box","furniture",1,"both","predicate1","dry",0.98,"texture"
"23",6,"table","furniture",1,"both","predicate1","plastic",0.98,"material"
"24",6,"watermelon","food",1,"both","predicate1","yellow",0.98,"color"
"25",6,"box","furniture",1,"both","predicate1","old",0.97,"age"
"26",6,"bed","furniture",1,"both","predicate1","metal",0.97,"material"
"27",6,"table","furniture",1,"both","predicate1","heavy",0.99,"size"
"28",9,"apple","food",1,"both","predicate1","round",0,"shape"
"29",9,"chair","furniture",1,"both","predicate1","bad",0.96,"quality"
"30",9,"couch","furniture",1,"both","predicate1","metal",0,"material"
"31",9,"apple","food",1,"both","predicate1","plastic",0.02,"material"
"32",9,"apple","food",1,"both","predicate1","heavy",0.95,"size"
"33",9,"couch","furniture",1,"both","predicate1","old",0.96,"age"
"34",9,"tomato","food",1,"both","predicate1","long",0,"size"
"35",9,"bed","furniture",1,"both","predicate1","brown",0.96,"color"
"36",9,"table","furniture",1,"both","predicate1","short",0.98,"size"
"37",9,"watermelon","food",1,"both","predicate1","light",0.97,"size"
"38",9,"apple","food",1,"both","predicate1","round",0.02,"shape"
"39",9,"chair","furniture",1,"both","predicate1","old",0.97,"age"
"40",9,"cheese","food",1,"both","predicate1","hard",0.01,"texture"
"41",9,"chair","furniture",1,"both","predicate1","purple",0.97,"color"
"42",9,"box","furniture",1,"both","predicate1","hard",0.02,"texture"
"43",9,"watermelon","food",1,"both","predicate1","red",0.97,"color"
"44",9,"tomato","food",1,"both","predicate1","soft",0.95,"texture"
"45",9,"box","furniture",1,"both","predicate1","bad",0.98,"quality"
"46",9,"couch","furniture",1,"both","predicate1","good",0.5,"quality"
"47",9,"chair","furniture",1,"both","predicate1","old",0.97,"age"
"48",9,"box","furniture",1,"both","predicate1","new",0.95,"age"
"49",9,"watermelon","food",1,"both","predicate1","dry",0.92,"texture"
"50",9,"cheese","food",1,"both","predicate1","purple",0.01,"color"
"51",9,"apple","food",1,"both","predicate1","bad",0.98,"quality"
"52",9,"cheese","food",1,"both","predicate1","wooden",0.01,"material"
"53",9,"bed","furniture",1,"both","predicate1","round",0.48,"shape"
"54",20,"cheese","food",1,"both","predicate1","square",0.32,"shape"
"55",20,"bed","furniture",1,"both","predicate1","brown",0.12,"color"
"56",20,"table","furniture",1,"both","predicate1","wooden",0.9,"material"
"57",20,"chair","furniture",1,"both","predicate1","green",0.13,"color"
"58",20,"box","furniture",1,"both","predicate1","small",0.1,"size"
"59",20,"potato","food",1,"both","predicate1","green",0.13,"color"
"60",20,"cheese","food",1,"both","predicate1","small",0.88,"size"
"61",20,"bed","furniture",1,"both","predicate1","rotten",0.08,"age"
"62",20,"chair","furniture",1,"both","predicate1","old",0.92,"age"
"63",20,"tomato","food",1,"both","predicate1","yellow",0.91,"color"
"64",20,"potato","food",1,"both","predicate1","purple",0.88,"color"
"65",20,"couch","furniture",1,"both","predicate1","hard",0.04,"texture"
"66",20,"potato","food",1,"both","predicate1","good",0.93,"quality"
"67",20,"cheese","food",1,"both","predicate1","big",0.91,"size"
"68",20,"watermelon","food",1,"both","predicate1","dry",0.05,"texture"
"69",20,"apple","food",1,"both","predicate1","red",0.09,"color"
"70",20,"bed","furniture",1,"both","predicate1","bad",0.95,"quality"
"71",20,"cheese","food",1,"both","predicate1","old",0.03,"age"
"72",20,"tomato","food",1,"both","predicate1","brown",0.03,"color"
"73",20,"chair","furniture",1,"both","predicate1","plastic",0.95,"material"
"74",20,"bed","furniture",1,"both","predicate1","metal",0.05,"material"
"75",21,"apple","food",1,"both","predicate1","yellow",0,"color"
"76",21,"tomato","food",1,"both","predicate1","rotten",1,"age"
"77",21,"box","furniture",1,"both","predicate1","old",1,"age"
"78",21,"bed","furniture",1,"both","predicate1","metal",0,"material"
"79",21,"potato","food",1,"both","predicate1","brown",0.5,"color"
"80",21,"potato","food",1,"both","predicate1","brown",0,"color"
"81",21,"chair","furniture",1,"both","predicate1","new",1,"age"
"82",21,"couch","furniture",1,"both","predicate1","new",1,"age"
"83",21,"box","furniture",1,"both","predicate1","red",0,"color"
"84",21,"couch","furniture",1,"both","predicate1","red",0,"color"
"85",21,"table","furniture",1,"both","predicate1","fresh",1,"age"
"86",21,"watermelon","food",1,"both","predicate1","new",1,"age"
