workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class
0,是,long,couch,0.96,furniture,3,size
0,是,old,watermelon,0.96,food,4,age
0,是,heavy,potato,0.97,food,5,size
0,是,brown,cheese,0.95,food,6,color
0,是,wooden,potato,0.03,food,7,material
0,不是,blue,tomato,0.05,food,8,color
0,不是,red,box,0.98,furniture,9,color
0,是,short,couch,0.97,furniture,10,size
0,不是,dry,couch,0.96,furniture,11,texture
0,不是,yellow,potato,0.02,food,12,color
0,是,small,bed,0.99,furniture,13,size
0,不是,big,potato,0.96,food,14,size
0,不是,plastic,chair,1,furniture,15,material
0,是,green,cheese,0.04,food,16,color
0,不是,purple,watermelon,0.04,food,17,color
0,不是,square,apple,0.01,food,18,shape
0,不是,fresh,table,0.06,furniture,19,age
0,是,bad,couch,0.97,furniture,20,quality
0,不是,metal,box,0.97,furniture,21,material
0,不是,round,tomato,0.98,food,22,shape
0,不是,soft,potato,0.98,food,23,texture
0,不是,hard,watermelon,0.04,food,24,texture
0,不是,good,watermelon,0.99,food,25,quality
0,是,new,cheese,0.96,food,26,age
0,是,light,potato,0.97,food,27,size
0,是,rotten,cheese,0.98,food,28,age
1,是,bad,couch,0.85,furniture,3,quality
1,是,green,apple,0.1,food,4,color
1,是,old,potato,0.19,food,5,age
1,不是,good,tomato,0.83,food,6,quality
1,不是,light,potato,0.91,food,7,size
1,不是,fresh,apple,0.74,food,8,age
1,不是,red,bed,0.08,furniture,9,color
1,是,yellow,couch,0.09,furniture,10,color
1,不是,short,couch,0.91,furniture,11,size
1,是,round,table,0.91,furniture,12,shape
1,是,blue,table,0.11,furniture,13,color
1,不是,rotten,chair,0.84,furniture,14,age
1,不是,plastic,table,0.86,furniture,15,material
1,不是,metal,box,0.87,furniture,16,material
1,不是,long,tomato,0.82,food,17,size
1,不是,soft,potato,0.9,food,18,texture
1,不是,square,box,0.06,furniture,19,shape
1,不是,big,couch,0.94,furniture,20,size
1,不是,wooden,bed,0.87,furniture,21,material
1,不是,heavy,bed,0.83,furniture,22,size
1,不是,brown,chair,0.16,furniture,23,color
1,不是,hard,cheese,0.85,food,24,texture
1,不是,new,apple,0.14,food,25,age
1,是,purple,couch,0.14,furniture,26,color
1,是,small,chair,0.88,furniture,27,size
1,不是,dry,watermelon,0.94,food,28,texture
2,是,hard,tomato,0,food,3,texture
2,是,rotten,couch,0.99,furniture,4,age
2,是,green,couch,0.98,furniture,5,color
2,是,small,cheese,1,food,6,size
2,不是,brown,apple,0.98,food,7,color
2,不是,metal,bed,0.02,furniture,8,material
2,是,old,table,0.44,furniture,9,age
2,是,wooden,apple,0.01,food,10,material
2,是,long,couch,0.58,furniture,11,size
2,不是,plastic,couch,0,furniture,12,material
2,不是,good,potato,0.98,food,13,quality
2,不是,blue,tomato,0.01,food,14,color
2,不是,soft,cheese,0.01,food,15,texture
2,是,light,watermelon,0.98,food,16,size
2,是,bad,box,0.03,furniture,17,quality
2,是,fresh,tomato,0.62,food,18,age
2,不是,short,box,0.62,furniture,19,size
2,是,square,potato,0.01,food,20,shape
2,是,red,apple,0.63,food,21,color
2,是,yellow,cheese,0,food,22,color
2,是,heavy,potato,0.97,food,23,size
2,是,big,apple,0.98,food,24,size
2,是,dry,cheese,0.47,food,25,texture
2,不是,round,tomato,0.99,food,26,shape
2,不是,purple,box,0.56,furniture,27,color
2,是,new,apple,0.66,food,28,age
3,是,good,chair,0.76,furniture,3,quality
3,不是,metal,table,0.8,furniture,4,material
3,不是,square,tomato,0.48,food,5,shape
3,不是,fresh,tomato,0.86,food,6,age
3,不是,bad,chair,0.76,furniture,7,quality
3,不是,wooden,tomato,0.92,food,8,material
3,不是,dry,cheese,0.68,food,9,texture
3,是,blue,box,0.66,furniture,10,color
3,不是,new,couch,0.31,furniture,11,age
3,不是,long,table,0.53,furniture,12,size
3,不是,hard,apple,0.11,food,13,texture
3,不是,brown,watermelon,0.67,food,14,color
3,不是,heavy,table,0.65,furniture,15,size
3,不是,plastic,potato,0.82,food,16,material
3,是,rotten,apple,0.77,food,17,age
3,是,light,potato,0.66,food,18,size
3,不是,big,bed,0.92,furniture,19,size
3,是,small,apple,0.67,food,20,size
3,是,short,tomato,0.57,food,21,size
3,不是,yellow,apple,0.74,food,22,color
3,是,round,box,0.64,furniture,23,shape
3,是,purple,cheese,0.49,food,24,color
3,不是,old,table,0.84,furniture,25,age
3,是,soft,chair,0.16,furniture,26,texture
3,不是,red,couch,0.56,furniture,27,color
3,不是,green,couch,0.67,furniture,28,color
4,不是,short,tomato,0.52,food,3,size
4,不是,light,bed,0.74,furniture,4,size
4,不是,yellow,couch,0.28,furniture,5,color
4,不是,bad,table,0.88,furniture,6,quality
4,是,red,potato,0.12,food,7,color
4,是,new,apple,0.88,food,8,age
4,是,purple,cheese,0.07,food,9,color
4,不是,rotten,chair,0.77,furniture,10,age
4,不是,square,box,0,furniture,11,shape
4,是,fresh,tomato,0.51,food,12,age
4,不是,long,potato,0.77,food,13,size
4,不是,blue,apple,0.07,food,14,color
4,不是,wooden,tomato,0.02,food,15,material
4,不是,hard,table,0.03,furniture,16,texture
4,是,dry,potato,0.8,food,17,texture
4,不是,old,box,0.96,furniture,18,age
4,不是,green,chair,0.41,furniture,19,color
4,不是,metal,chair,0.01,furniture,20,material
4,不是,small,tomato,0.93,food,21,size
4,不是,plastic,apple,0.07,food,22,material
4,不是,heavy,tomato,0.87,food,23,size
4,不是,good,couch,0.95,furniture,24,quality
4,是,soft,couch,0.97,furniture,25,texture
4,是,big,chair,0.91,furniture,26,size
4,不是,brown,tomato,0.5,food,27,color
4,不是,round,apple,0.49,food,28,shape
5,不是,heavy,watermelon,1,food,3,size
5,不是,blue,watermelon,0,food,4,color
5,是,red,potato,0,food,5,color
5,不是,small,couch,1,furniture,6,size
5,不是,bad,chair,1,furniture,7,quality
5,不是,green,watermelon,0,food,8,color
5,不是,wooden,tomato,0,food,9,material
5,不是,yellow,tomato,1,food,10,color
5,不是,dry,bed,1,furniture,11,texture
5,是,new,box,0.99,furniture,12,age
5,不是,purple,couch,1,furniture,13,color
5,是,long,watermelon,1,food,14,size
5,是,fresh,tomato,1,food,15,age
5,是,square,table,1,furniture,16,shape
5,是,hard,tomato,0,food,17,texture
5,是,big,tomato,0.99,food,18,size
5,不是,good,couch,1,furniture,19,quality
5,不是,soft,box,1,furniture,20,texture
5,不是,metal,watermelon,0,food,21,material
5,不是,round,cheese,1,food,22,shape
5,是,light,apple,1,food,23,size
5,是,rotten,table,0,furniture,24,age
5,不是,short,potato,1,food,25,size
5,不是,old,tomato,0,food,26,age
5,是,plastic,watermelon,0,food,27,material
5,是,brown,chair,1,furniture,28,color
