"","workerid","firstutterance","predicate","noun","response","nounclass","slide_number","class","language"
"1",0,"is not","soft","TV",1,"furniture",3,"texture","English"
"2",0,"is","smooth","TV",0.92,"furniture",4,"texture","English"
"3",0,"is not","brown","desk",0.03,"furniture",5,"color","English"
"4",0,"is","red","TV",0.02,"furniture",6,"color","English"
"5",0,"is not","good","desk",0.95,"furniture",7,"quality","English"
"6",0,"is not","old","banana",0.01,"food",8,"age","English"
"7",0,"is not","small","desk",0.89,"furniture",9,"size","English"
"8",0,"is","bad","desk",0.98,"furniture",10,"quality","English"
"9",0,"is not","wooden","fan",0.01,"furniture",11,"material","English"
"10",0,"is not","plastic","fan",0.05,"furniture",12,"material","English"
"11",0,"is not","yellow","carrot",0.03,"food",13,"color","English"
"12",0,"is not","green","banana",0.02,"food",14,"color","English"
"13",0,"is","metal","banana",0.02,"food",15,"material","English"
"14",0,"is not","huge","tomato",0.98,"food",16,"size","English"
"15",0,"is","new","banana",0.38,"food",17,"age","English"
"16",0,"is","purple","couch",0.03,"furniture",18,"color","English"
"17",0,"is","square","cheese",0.04,"food",19,"shape","English"
"18",0,"is not","rotten","banana",0.33,"food",20,"age","English"
"19",0,"is not","long","fan",0.96,"furniture",21,"size","English"
"20",0,"is not","big","fan",0.98,"furniture",22,"size","English"
"21",0,"is","round","carrot",0.03,"food",23,"shape","English"
"22",0,"is not","blue","TV",0.05,"furniture",24,"color","English"
"23",0,"is","tiny","couch",0.98,"furniture",25,"size","English"
"24",0,"is","hard","TV",0.96,"furniture",26,"texture","English"
"25",0,"is not","short","apple",1,"food",27,"size","English"
"26",0,"is not","fresh","chair",0.45,"furniture",28,"age","English"
"27",1,"is","green","tomato",0,"food",3,"color","english"
"28",1,"is not","red","apple",0,"food",4,"color","english"
"29",1,"is not","smooth","cheese",0.24,"food",5,"texture","english"
"30",1,"is","fresh","TV",1,"furniture",6,"age","english"
"31",1,"is not","square","carrot",0.53,"food",7,"shape","english"
"32",1,"is not","plastic","chair",0,"furniture",8,"material","english"
"33",1,"is","bad","fan",1,"furniture",9,"quality","english"
"34",1,"is","metal","banana",0,"food",10,"material","english"
"35",1,"is not","brown","fan",0.26,"furniture",11,"color","english"
"36",1,"is","long","chair",1,"furniture",12,"size","english"
"37",1,"is not","new","carrot",1,"food",13,"age","english"
"38",1,"is","rotten","TV",1,"furniture",14,"age","english"
"39",1,"is not","yellow","carrot",0.21,"food",15,"color","english"
"40",1,"is not","big","couch",1,"furniture",16,"size","english"
"41",1,"is","round","apple",0.6,"food",17,"shape","english"
"42",1,"is not","wooden","couch",0.9,"furniture",18,"material","english"
"43",1,"is","purple","cheese",0.41,"food",19,"color","english"
"44",1,"is not","tiny","carrot",1,"food",20,"size","english"
"45",1,"is","blue","fan",0.21,"furniture",21,"color","english"
"46",1,"is","hard","chair",1,"furniture",22,"texture","english"
"47",1,"is not","small","TV",1,"furniture",23,"size","english"
"48",1,"is not","soft","fan",1,"furniture",24,"texture","english"
"49",1,"is","old","apple",1,"food",25,"age","english"
"50",1,"is","good","tomato",1,"food",26,"quality","english"
"51",1,"is","short","cheese",1,"food",27,"size","english"
"52",1,"is","huge","tomato",1,"food",28,"size","english"
"53",2,"is","bad","apple",0.23,"food",3,"quality","English"
"54",2,"is","soft","apple",0.45,"food",4,"texture","English"
"55",2,"is","plastic","carrot",0.03,"food",5,"material","English"
